Codigo,Fracción,Radio,Varón,Mujer
63570101,01,01,451,421
63570102,01,02,501,512
63570103,01,03,602,616
63570104,01,04,580,625
63570105,01,05,505,544
63570106,01,06,342,386
63570107,01,07,314,414
63570108,01,08,548,569
63570109,01,09,430,459
63570201,02,01,458,473
63570202,02,02,424,452
63570203,02,03,398,469
63570204,02,04,569,663
63570205,02,05,420,426
63570206,02,06,427,432
63570207,02,07,332,340
63570208,02,08,272,303
63570209,02,09,444,451
63570210,02,10,386,394
63570301,03,01,210,211
63570302,03,02,275,255
63570303,03,03,172,169
63570304,03,04,352,351
63570305,03,05,347,376
63570306,03,06,462,567
63570307,03,07,346,421
63570308,03,08,494,509
63570309,03,09,540,608
63570310,03,10,434,473
63570311,03,11,535,597
63570401,04,01,296,348
63570402,04,02,225,223
63570403,04,03,191,219
63570404,04,04,216,238
63570405,04,05,216,221
63570406,04,06,235,316
63570407,04,07,366,393
63570408,04,08,445,458
63570409,04,09,350,356
63570410,04,10,277,301
63570501,05,01,565,561
63570502,05,02,531,616
63570503,05,03,322,377
63570504,05,04,357,318
63570505,05,05,263,283
63570506,05,06,326,360
63570507,05,07,253,284
63570508,05,08,275,344
63570509,05,09,464,525
63570510,05,10,467,461
63570511,05,11,219,235
63570512,05,12,243,276
63570513,05,13,181,211
63570514,05,14,194,214
63570601,06,01,483,484
63570602,06,02,378,429
63570603,06,03,361,378
63570604,06,04,549,634
63570605,06,05,373,420
63570606,06,06,334,359
63570607,06,07,401,475
63570608,06,08,507,516
63570609,06,09,524,610
63570610,06,10,457,492
63570611,06,11,411,411
63570701,07,01,371,413
63570702,07,02,539,525
63570703,07,03,411,455
63570704,07,04,522,543
63570705,07,05,604,681
63570706,07,06,520,569
63570707,07,07,442,430
63570708,07,08,415,418
63570709,07,09,676,678
63570710,07,10,501,532
63570711,07,11,411,423
63570801,08,01,625,608
63570802,08,02,446,481
63570803,08,03,327,341
63570804,08,04,375,411
63570805,08,05,459,508
63570806,08,06,405,427
63570807,08,07,447,542
63570808,08,08,348,398
63570809,08,09,485,521
63570810,08,10,514,542
63570811,08,11,521,572
63570812,08,12,521,576
63570813,08,13,328,356
63570814,08,14,205,243
63570901,09,01,707,723
63570902,09,02,607,611
63570903,09,03,501,520
63570904,09,04,596,619
63570905,09,05,552,613
63570906,09,06,675,685
63570907,09,07,594,603
63570908,09,08,565,572
63570909,09,09,512,574
63570910,09,10,676,704
63570911,09,11,573,612
63570912,09,12,674,709
63570913,09,13,519,518
63571001,10,01,373,340
63571002,10,02,316,336
63571003,10,03,586,622
63571004,10,04,546,544
63571005,10,05,603,642
63571006,10,06,639,653
63571007,10,07,607,549
63571008,10,08,826,776
63571009,10,09,428,426
63571010,10,10,371,388
63571011,10,11,466,527
63571012,10,12,495,476
63571013,10,13,421,381
63571014,10,14,518,511
63571015,10,15,438,402
63571101,11,01,354,386
63571102,11,02,590,599
63571103,11,03,454,460
63571104,11,04,783,785
63571105,11,05,578,585
63571106,11,06,653,603
63571107,11,07,593,605
63571108,11,08,349,386
63571109,11,09,641,714
63571110,11,10,424,444
63571111,11,11,424,460
63571112,11,12,591,620
63571201,12,01,534,544
63571202,12,02,275,315
63571203,12,03,449,468
63571204,12,04,400,394
63571205,12,05,504,580
63571206,12,06,302,334
63571207,12,07,561,551
63571208,12,08,754,683
63571209,12,09,597,610
63571210,12,10,705,719
63571211,12,11,756,841
63571212,12,12,564,598
63571213,12,13,477,500
63571214,12,14,364,435
63571215,12,15,684,777
63571301,13,01,420,448
63571302,13,02,370,437
63571303,13,03,548,621
63571304,13,04,676,744
63571305,13,05,395,406
63571306,13,06,685,679
63571307,13,07,587,578
63571308,13,08,461,473
63571309,13,09,266,281
63571401,14,01,489,521
63571402,14,02,411,489
63571403,14,03,603,671
63571404,14,04,435,515
63571405,14,05,309,300
63571406,14,06,319,431
63571407,14,07,493,572
63571408,14,08,415,482
63571409,14,09,374,477
63571501,15,01,461,478
63571502,15,02,264,343
63571503,15,03,345,388
63571504,15,04,459,560
63571505,15,05,445,567
63571506,15,06,330,381
63571507,15,07,761,966
63571508,15,08,423,486
63571509,15,09,364,399
63571510,15,10,393,446
63571511,15,11,175,220
63571601,16,01,366,375
63571602,16,02,321,362
63571603,16,03,295,388
63571604,16,04,312,455
63571605,16,05,287,344
63571606,16,06,249,300
63571607,16,07,195,257
63571608,16,08,271,335
63571609,16,09,166,201
63571610,16,10,173,214
63571611,16,11,171,217
63571612,16,12,161,207
63571613,16,13,229,288
63571701,17,01,401,393
63571702,17,02,104,132
63571703,17,03,216,240
63571704,17,04,310,326
63571705,17,05,592,588
63571706,17,06,282,276
63571707,17,07,232,233
63571708,17,08,383,392
63571709,17,09,281,326
63571710,17,10,240,265
63571801,18,01,327,372
63571802,18,02,227,318
63571803,18,03,169,174
63571804,18,04,266,329
63571805,18,05,392,461
63571806,18,06,326,370
63571807,18,07,318,351
63571808,18,08,355,479
63571809,18,09,286,354
63571810,18,10,226,275
63571901,19,01,323,397
63571902,19,02,202,241
63571903,19,03,159,206
63571904,19,04,83,88
63571905,19,05,143,165
63571906,19,06,126,152
63571907,19,07,305,370
63571908,19,08,207,247
63571909,19,09,120,153
63571910,19,10,96,141
63571911,19,11,152,186
63572001,20,01,177,243
63572002,20,02,272,380
63572003,20,03,136,213
63572004,20,04,126,162
63572005,20,05,74,104
63572006,20,06,97,114
63572007,20,07,141,178
63572008,20,08,45,48
63572009,20,09,88,109
63572101,21,01,151,194
63572102,21,02,278,337
63572103,21,03,207,266
63572104,21,04,153,171
63572105,21,05,356,411
63572106,21,06,224,312
63572107,21,07,202,326
63572108,21,08,177,273
63572201,22,01,201,221
63572202,22,02,103,145
63572203,22,03,195,232
63572204,22,04,140,202
63572205,22,05,150,182
63572206,22,06,208,280
63572207,22,07,132,212
63572208,22,08,184,290
63572209,22,09,190,282
63572210,22,10,136,209
63572211,22,11,128,195
63572212,22,12,153,222
63572213,22,13,116,178
63572214,22,14,140,209
63572301,23,01,174,215
63572302,23,02,185,242
63572303,23,03,114,156
63572304,23,04,127,163
63572305,23,05,95,122
63572306,23,06,145,169
63572307,23,07,95,103
